ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
ITSA4,"R$ 0,11440000",22/06/2023,25/08/2023,JCP,"1,17%"
ITUB4,"R$ 0,26200000",23/03/2023,25/08/2023,JCP,"1,09%"
ITUB4,"R$ 0,26630000",19/06/2023,25/08/2023,JCP,"0,92%"
TOTS3,"R$ 0,23000000",27/07/2023,25/08/2023,JCP,"0,79%"
UGPA3,"R$ 0,25000000",17/08/2023,25/08/2023,Dividendo,"1,36%"
BBSE3,"R$ 1,60763676",16/08/2023,28/08/2023,Dividendo,"4,92%"
ENGI11,"R$ 0,70000000",15/08/2023,29/08/2023,Dividendo,"1,47%"
GGBR4,"R$ 0,43000000",18/08/2023,29/08/2023,Dividendo,"1,69%"
TAEE11,"R$ 0,07561162",03/05/2023,29/08/2023,Dividendo,"0,21%"
TAEE11,"R$ 0,28212665",07/08/2023,29/08/2023,Dividendo,"0,78%"
TAEE11,"R$ 0,62771745",07/08/2023,29/08/2023,JCP,"1,73%"
BBAS3,"R$ 0,00156179",21/08/2023,30/08/2023,Rend. Tributado,"0,00%"
BBAS3,"R$ 0,00711400",21/08/2023,30/08/2023,Rend. Tributado,"0,01%"
BBAS3,"R$ 0,07186082",21/08/2023,30/08/2023,Dividendo,"0,15%"
BBAS3,"R$ 0,32732757",21/08/2023,30/08/2023,JCP,"0,69%"
GOAU4,"R$ 0,26000000",18/08/2023,30/08/2023,Dividendo,"2,16%"
STBP3,"R$ 0,06131784",10/08/2023,31/08/2023,Dividendo,"0,61%"
STBP3,"R$ 0,04245763",10/08/2023,31/08/2023,JCP,"0,43%"
AZZA3,"R$ 0,84976953",30/06/2023,01/09/2023,JCP,"1,08%"
BBDC3,"R$ 0,01724983",01/08/2023,01/09/2023,JCP,"0,12%"
BBDC4,"R$ 0,01897481",01/08/2023,01/09/2023,JCP,"0,11%"
ITUB4,"R$ 0,01765000",31/07/2023,01/09/2023,JCP,"0,06%"
VALE3,"R$ 1,91847180",11/08/2023,01/09/2023,JCP,"3,00%"
IGTI11,"R$ 0,09150832",20/04/2023,15/09/2023,Dividendo,"0,47%"
MULT3,"R$ 0,17070192",27/09/2022,20/09/2023,JCP,"0,70%"
PETR3,"R$ 0,94678900",12/06/2023,20/09/2023,Dividendo,"2,92%"
PETR4,"R$ 0,94678900",12/06/2023,20/09/2023,Dividendo,"3,26%"
EGIE3,"R$ 1,78344074",08/05/2023,26/09/2023,Dividendo,"4,10%"
BBAS3,"R$ 0,16709861",11/09/2023,29/09/2023,JCP,"0,36%"
BBDC3,"R$ 0,01724983",01/09/2023,02/10/2023,JCP,"0,13%"
BBDC4,"R$ 0,01897481",01/09/2023,02/10/2023,JCP,"0,13%"
ITSA4,"R$ 0,05154000",18/11/2022,02/10/2023,JCP,"0,57%"
ITSA4,"R$ 0,04450000",08/12/2022,02/10/2023,JCP,"0,52%"
ITSA4,"R$ 0,04940000",18/08/2022,02/10/2023,JCP,"0,52%"
ITSA4,"R$ 0,02352950",17/08/2023,02/10/2023,JCP,"0,25%"
ITUB4,"R$ 0,01765000",31/08/2023,02/10/2023,JCP,"0,06%"
CURY3,"R$ 0,51744784",22/09/2023,03/10/2023,Dividendo,"3,30%"
LREN3,"R$ 0,18017700",27/06/2023,05/10/2023,JCP,"0,86%"
LREN3,"R$ 0,18232700",21/03/2023,05/10/2023,JCP,"1,04%"
B3SA3,"R$ 0,04955653",21/09/2023,06/10/2023,Dividendo,"0,39%"
B3SA3,"R$ 0,05615345",21/09/2023,06/10/2023,JCP,"0,44%"
VIVT3,"R$ 0,08726297",31/03/2023,18/10/2023,JCP,"0,22%"
VIVT3,"R$ 0,03188588",28/02/2023,18/10/2023,JCP,"0,08%"
POMO4,"R$ 0,07000000",05/10/2023,19/10/2023,JCP,"1,25%"
TIMS3,"R$ 0,17557637",22/09/2023,23/10/2023,JCP,"1,16%"
CPFE3,"R$ 0,26035916",28/04/2023,25/10/2023,Dividendo,"0,84%"
RAIZ4,"R$ 0,02421046",17/10/2023,26/10/2023,Dividendo,"0,70%"
RDOR3,"R$ 0,18463813",16/10/2023,27/10/2023,JCP,"0,80%"
SMFT3,"R$ 0,35241532",11/10/2023,27/10/2023,JCP,"1,62%"
FLRY3,"R$ 0,16922113",04/09/2023,31/10/2023,JCP,"1,13%"
BBDC3,"R$ 0,01724983",02/10/2023,01/11/2023,JCP,"0,14%"
BBDC4,"R$ 0,01897481",02/10/2023,01/11/2023,JCP,"0,13%"
ITUB4,"R$ 0,01765000",29/09/2023,01/11/2023,JCP,"0,06%"
CXSE3,"R$ 0,50000000",24/10/2023,06/11/2023,Dividendo,"4,51%"
SANB11,"R$ 0,10218607",19/10/2023,10/11/2023,Dividendo,"0,38%"
SANB11,"R$ 0,30118000",19/10/2023,10/11/2023,JCP,"1,13%"
STBP3,"R$ 0,02658344",30/10/2023,13/11/2023,Dividendo,"0,37%"
STBP3,"R$ 0,08544005",30/10/2023,13/11/2023,Dividendo,"1,19%"
STBP3,"R$ 0,04082280",30/10/2023,13/11/2023,JCP,"0,57%"
KLBN11,"R$ 0,28912341",27/10/2023,14/11/2023,JCP,"1,29%"
CPFE3,"R$ 0,17357278",17/08/2023,17/11/2023,Dividendo,"0,50%"
CPFE3,"R$ 0,43393194",28/04/2023,17/11/2023,Dividendo,"1,43%"
RENT3,"R$ 0,40657914",27/09/2023,20/11/2023,JCP,"0,72%"
RENT3,"R$ 0,40642567",27/09/2023,20/11/2023,JCP,"0,73%"
PETR3,"R$ 0,36547600",21/08/2023,21/11/2023,JCP,"1,07%"
PETR3,"R$ 0,20917600",21/08/2023,21/11/2023,Dividendo,"0,61%"
PETR4,"R$ 0,36547600",21/08/2023,21/11/2023,JCP,"1,17%"
PETR4,"R$ 0,20917600",21/08/2023,21/11/2023,Dividendo,"0,67%"
AZZA3,"R$ 0,29737557",10/11/2023,28/11/2023,Dividendo,"0,51%"
AZZA3,"R$ 0,40531800",10/11/2023,28/11/2023,JCP,"0,70%"
AZZA3,"R$ 0,38000327",10/11/2023,28/11/2023,JCP,"0,65%"
CMIN3,"R$ 0,24884185",20/11/2023,28/11/2023,Dividendo,"3,62%"
CSNA3,"R$ 0,74278297",20/11/2023,29/11/2023,Dividendo,"4,79%"
PSSA3,"R$ 0,08777106",31/10/2022,29/11/2023,JCP,"0,39%"
BBAS3,"R$ 0,05099430",21/11/2023,30/11/2023,Dividendo,"0,10%"
BBAS3,"R$ 0,34311101",21/11/2023,30/11/2023,JCP,"0,67%"
CPFE3,"R$ 0,14753686",17/08/2023,30/11/2023,Dividendo,"0,43%"
CPLE6,"R$ 0,15950586",29/09/2023,30/11/2023,JCP,"1,84%"
MOTV3,"R$ 0,15677311",30/10/2023,30/11/2023,Dividendo,"1,31%"
BBDC3,"R$ 0,01724983",01/11/2023,01/12/2023,JCP,"0,14%"
BBDC4,"R$ 0,01897481",01/11/2023,01/12/2023,JCP,"0,13%"
ITUB4,"R$ 0,01765000",31/10/2023,01/12/2023,JCP,"0,07%"
RADL3,"R$ 0,04853060",04/04/2023,01/12/2023,JCP,"0,20%"
RADL3,"R$ 0,05949665",05/07/2023,01/12/2023,JCP,"0,21%"
VALE3,"R$ 1,56589081",21/11/2023,01/12/2023,Dividendo,"2,00%"
VALE3,"R$ 0,76577076",21/11/2023,01/12/2023,JCP,"0,98%"
BRAP4,"R$ 0,60438509",21/11/2023,04/12/2023,Dividendo,"2,24%"
BRAP4,"R$ 1,18249257",21/11/2023,04/12/2023,JCP,"4,39%"
YDUQ3,"R$ 0,27493019",18/08/2023,05/12/2023,Dividendo,"1,24%"
GGBR4,"R$ 0,47000000",17/11/2023,13/12/2023,Dividendo,"1,92%"
GOAU4,"R$ 0,93000000",17/11/2023,14/12/2023,Dividendo,"7,69%"
CPFE3,"R$ 0,30375236",17/08/2023,15/12/2023,Dividendo,"0,88%"
IGTI11,"R$ 0,09150832",20/04/2023,15/12/2023,Dividendo,"0,47%"
PETR3,"R$ 0,57465200",21/08/2023,15/12/2023,Dividendo,"1,68%"
PETR4,"R$ 0,57465200",21/08/2023,15/12/2023,Dividendo,"1,84%"
RECV3,"R$ 0,54597200",05/12/2023,15/12/2023,JCP,"2,70%"
TAEE11,"R$ 0,01183035",13/11/2023,15/12/2023,Dividendo,"0,03%"
TAEE11,"R$ 0,58194821",13/11/2023,15/12/2023,JCP,"1,61%"
CYRE3,"R$ 0,33340392",11/12/2023,18/12/2023,Dividendo,"1,50%"
AURE3,"R$ 1,50000000",08/12/2023,19/12/2023,Dividendo,"11,24%"
CPFE3,"R$ 0,15849610",17/08/2023,20/12/2023,Dividendo,"0,46%"
MULT3,"R$ 0,29900118",26/12/2022,20/12/2023,JCP,"1,34%"
SMFT3,"R$ 0,10132329",11/12/2023,21/12/2023,JCP,"0,42%"
PRIO3,"R$ 0,07264350",13/12/2023,22/12/2023,Dividendo,"0,16%"
TOTS3,"R$ 0,21000000",04/12/2023,22/12/2023,JCP,"0,62%"
EGIE3,"R$ 0,94027880",21/08/2023,27/12/2023,Dividendo,"2,24%"
PETR3,"R$ 0,06445329",27/04/2023,27/12/2023,Rend. Tributado,"0,25%"
PETR3,"R$ 0,49806828",27/04/2023,27/12/2023,Dividendo,"1,91%"
PETR4,"R$ 0,06445329",27/04/2023,27/12/2023,Rend. Tributado,"0,25%"
PETR4,"R$ 0,49806828",27/04/2023,27/12/2023,Dividendo,"2,14%"
ABEV3,"R$ 0,73020000",19/12/2023,28/12/2023,JCP,"4,95%"
BBAS3,"R$ 0,17115324",11/12/2023,28/12/2023,JCP,"0,32%"
CMIG4,"R$ 0,05653493",27/04/2023,28/12/2023,Dividendo,"0,46%"
FLRY3,"R$ 0,26557983",15/12/2023,28/12/2023,JCP,"1,42%"
RADL3,"R$ 0,04841394",20/12/2023,28/12/2023,Dividendo,"0,17%"
RAIZ4,"R$ 0,07225816",20/12/2023,28/12/2023,JCP,"1,83%"
