ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
GGBR4,"R$ 0,12000000",11/08/2025,18/08/2025,Dividendo,"0,73%"
GOAU4,"R$ 0,08000000",11/08/2025,19/08/2025,Dividendo,"0,88%"
KLBN11,"R$ 0,25094462",08/08/2025,19/08/2025,Dividendo,"1,33%"
RENT3,"R$ 0,50619366",27/06/2025,19/08/2025,JCP,"1,24%"
PETR3,"R$ 0,45458310",02/06/2025,20/08/2025,JCP,"1,37%"
PETR4,"R$ 0,45458310",02/06/2025,20/08/2025,JCP,"1,45%"
CPFE3,"R$ 0,32110963",29/04/2025,25/08/2025,Dividendo,"0,88%"
BBSE3,"R$ 1,94209516",14/08/2025,26/08/2025,Dividendo,"5,55%"
TAEE11,"R$ 0,54652245",12/05/2025,27/08/2025,JCP,"1,55%"
ELET3,"R$ 1,75770643",15/08/2025,28/08/2025,Dividendo,"3,98%"
ELET6,"R$ 1,93347902",15/08/2025,28/08/2025,Dividendo,"4,04%"
ITSA4,"R$ 0,05910000",20/06/2025,29/08/2025,JCP,"0,55%"
ITSA4,"R$ 0,18590000",18/08/2025,29/08/2025,JCP,"1,67%"
ITUB4,"R$ 0,33410000",09/06/2025,29/08/2025,JCP,"0,93%"
ITUB4,"R$ 0,36340000",18/08/2025,29/08/2025,JCP,"0,96%"
UGPA3,"R$ 0,30000000",21/08/2025,29/08/2025,Dividendo,"1,68%"
VBBR3,"R$ 0,26199833",23/12/2024,29/08/2025,JCP,"1,40%"
BBDC3,"R$ 0,01724983",01/08/2025,01/09/2025,JCP,"0,13%"
BBDC4,"R$ 0,01897481",01/08/2025,01/09/2025,JCP,"0,12%"
ITUB4,"R$ 0,01765000",31/07/2025,01/09/2025,JCP,"0,05%"
ALOS3,"R$ 0,10191685",21/08/2025,02/09/2025,Dividendo,"0,45%"
VALE3,"R$ 1,89538742",12/08/2025,03/09/2025,JCP,"3,39%"
POMO4,"R$ 0,07500000",26/08/2025,08/09/2025,Dividendo,"0,81%"
POMO4,"R$ 0,09000000",26/08/2025,08/09/2025,JCP,"0,97%"
PETR3,"R$ 0,14613560",02/06/2025,22/09/2025,JCP,"0,44%"
PETR3,"R$ 0,30844749",02/06/2025,22/09/2025,Dividendo,"0,93%"
PETR4,"R$ 0,14613560",02/06/2025,22/09/2025,JCP,"0,47%"
PETR4,"R$ 0,30844749",02/06/2025,22/09/2025,Dividendo,"0,99%"
ENGI11,"R$ 1,00000000",12/08/2025,26/09/2025,Dividendo,"2,06%"
BBDC3,"R$ 0,01724983",01/09/2025,01/10/2025,JCP,"0,12%"
BBDC4,"R$ 0,01897481",01/09/2025,01/10/2025,JCP,"0,11%"
ITSA4,"R$ 0,02352950",29/08/2025,01/10/2025,JCP,"0,21%"
ITUB4,"R$ 0,01765000",29/08/2025,01/10/2025,JCP,"0,05%"
FLRY3,"R$ 0,31009856",12/08/2025,03/10/2025,JCP,"2,15%"
ABEV3,"R$ 0,12830000",07/08/2025,06/10/2025,Dividendo,"1,02%"
TIMS3,"R$ 0,13231510",25/07/2025,21/10/2025,JCP,"0,66%"
TIMS3,"R$ 0,28266749",03/04/2025,23/10/2025,Dividendo,"1,54%"
IGTI11,"R$ 0,16888732",17/04/2025,30/10/2025,Dividendo,"0,85%"
BBDC3,"R$ 0,01724983",01/10/2025,03/11/2025,JCP,"0,00%"
BBDC4,"R$ 0,01897481",01/10/2025,03/11/2025,JCP,"0,00%"
ITUB4,"R$ 0,01765000",30/09/2025,03/11/2025,JCP,"0,00%"
CXSE3,"R$ 0,32000000",03/11/2025,17/11/2025,Dividendo,"0,00%"
PETR3,"R$ 0,33596205",21/08/2025,21/11/2025,JCP,"1,03%"
PETR4,"R$ 0,33596205",21/08/2025,21/11/2025,JCP,"1,11%"
TAEE11,"R$ 0,32190459",29/04/2025,27/11/2025,Dividendo,"0,89%"
TAEE11,"R$ 0,23019206",18/08/2025,27/11/2025,Dividendo,"0,68%"
TAEE11,"R$ 0,63897936",18/08/2025,27/11/2025,JCP,"1,87%"
VBBR3,"R$ 0,50435329",16/04/2025,28/11/2025,Dividendo,"2,74%"
BBDC3,"R$ 0,01724983",03/11/2025,01/12/2025,JCP,"0,00%"
