ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
CPFE3,0.94,2022-04-29,2022-05-11,Dividendo,2.62
SUZB3,0.59,2022-05-04,2022-05-13,Dividendo,1.16
VIVA3,0.27,2021-12-27,2022-05-13,JCP,1.12
VIVA3,0.05,2022-04-29,2022-05-13,Dividendo,0.21
PETR3,0.1,2022-04-13,2022-05-16,Rend. Tributado,0.32
PETR3,2.86,2022-04-13,2022-05-16,Dividendo,7.71
PETR4,0.1,2022-04-13,2022-05-16,Rend. Tributado,0.35
PETR4,2.86,2022-04-13,2022-05-16,Dividendo,8.37
SANB11,0.18,2022-04-20,2022-05-16,Dividendo,0.53
SANB11,0.26,2022-04-20,2022-05-16,JCP,0.76
KLBN11,0.31,2022-05-06,2022-05-18,Dividendo,1.4
SLCE3,1.21,2022-04-29,2022-05-18,Dividendo,2.29
AURE3,0.01,2022-05-03,2022-05-19,Dividendo,0.1
AURE3,0.04,2022-05-03,2022-05-19,Dividendo,0.3
AURE3,0.04,2022-05-03,2022-05-19,Dividendo,0.31
CMIN3,0.45,2022-04-29,2022-05-19,Dividendo,8.84
ALOS3,0.38,2022-05-02,2022-05-20,Dividendo,1.88
CSAN3,0.42,2022-05-05,2022-05-20,Dividendo,2.16
CSNA3,0.19,2022-01-04,2022-05-20,JCP,0.78
CSNA3,0.34,2022-04-29,2022-05-20,Dividendo,1.67
RENT3,0.14,2022-03-29,2022-05-20,JCP,0.23
RENT3,0.27,2022-04-29,2022-05-20,Dividendo,0.5
TOTS3,0.13,2021-12-28,2022-05-20,JCP,0.45
GGBR4,0.57,2022-05-16,2022-05-25,JCP,2.02
GOAU4,0.2,2022-05-16,2022-05-26,JCP,1.7
GOAU4,0.09,2022-05-16,2022-05-26,Dividendo,0.77
VBBR3,0.11,2022-04-28,2022-05-30,Dividendo,0.54
BBAS3,0.07,2022-05-23,2022-05-31,Dividendo,0.21
BBAS3,0.25,2022-05-23,2022-05-31,JCP,0.68
RADL3,0.03,2021-11-12,2022-05-31,JCP,0.14
RADL3,0.03,2021-12-08,2022-05-31,Dividendo,0.15
RAIL3,0.01,2022-04-27,2022-05-31,Dividendo,0.11
TAEE11,2.32,2022-05-09,2022-05-31,Dividendo,5.16
BBDC3,0.01,2022-05-02,2022-06-01,JCP,0.12
BBDC4,0.01,2022-05-02,2022-06-01,JCP,0.11
ITUB4,0.01,2022-04-29,2022-06-01,JCP,0.07
